threads,material,batch_size,Flush(GB),Cumulative compaction write size,Cumulative compaction write throughput,Cumulative compaction read size,Cumulative compaction read throughput,Cumulative compaction time,Interval compaction write size,Interval compaction write throughput,Interval compaction read size,Interval compaction read throughput,Interval compaction time,level0_slowdown,level0_slowdown_with_compaction,level0_numfiles,level0_numfiles_with_compaction,stop for pending_compaction_bytes,slowdown for pending_compaction_bytes,memtable_compaction,memtable_slowdown,total_write_op,total_write_size(MB),rocksdb.block.cache.miss,rocksdb.block.cache.hit,rocksdb.block.cache.add,rocksdb.db.mutex.wait.micros,read_latency_level0_Count,read_latency_level0_Average,read_latency_level0_StdDev,read_latency_level1_Count,read_latency_level1_Average,read_latency_level1_StdDev,read_latency_level2_Count,read_latency_level2_Average,read_latency_level2_StdDev,read_latency_level3_Count,read_latency_level3_Average,read_latency_level3_StdDev,read_latency_level4_Count,read_latency_level4_Average,read_latency_level4_StdDev,read_latency_level5_Count,read_latency_level5_Average,read_latency_level5_StdDev,read_latency_level6_Count,read_latency_level6_Average,read_latency_level6_StdDev
12CPU,SATASSD,64MB,28.901,244.72,252.14,224.79,231.6,4657.8,98.89,257.09,94.78,246.41,2290.8,0,0,0,0,0,0,81,0,268M,31488.0,69198032,5979,10726020,0, 13110922, 1.0505, 92.28, 11634762, 1.0024, 34.56, 23803296, 1.1001, 65.12, 20220450, 1.4157, 89.03,0,0,0,0,0,0,0,0,0
12CPU,SATASSD,128MB,28.84,220.77,228.88,200.7,208.08,3959.7,99.44,262.68,95.88,253.27,2374.1,0,0,0,0,0,0,39,0,268M,31488.0,62802492,5323,10527248,0, 11229384, 1.0106, 110.68, 11922201, 0.9260, 13.70, 19982460, 1.0088, 57.12, 19292897, 1.3976, 102.91,0,0,0,0,0,0,0,0,0
4CPU,SATASSD,64MB,28.901,250.3,279.66,230.57,257.62,2244.8,90.56,293.03,87.55,283.3,849.1,0,0,0,0,0,0,11,0,268M,31488.0,70450262,5348,10456079,0, 12674989, 0.9910, 67.91, 12190997, 0.9586, 2.22, 28870163, 1.0159, 54.53, 16576970, 1.3533, 2.89,0,0,0,0,0,0,0,0,0
4CPU,SATASSD,128MB,28.84,230.4,247.55,210.55,226.23,1919.6,97.28,282.17,94.06,272.84,938.2,0,0,0,0,0,0,1,0,268M,31488.0,65406524,5349,10577448,0, 10338278, 0.9708, 49.00, 12197080, 0.9275, 2.90, 24127306, 0.9764, 2.86, 18669676, 1.2764, 2.99,0,0,0,0,0,0,0,0,0
12CPU,NVMeSSD,64MB,28.901,268.94,315.45,249.14,292.23,1345.9,79.57,298.45,76.53,287.07,435.7,0,0,0,0,0,0,0,0,268M,31488.0,75748593,6042,10980568,0, 8069735, 0.9910, 1.08, 15071970, 0.9350, 2.12, 30354054, 0.9799, 1.67, 22069859, 1.2276, 3.67,0,0,0,0,0,0,0,0,0
12CPU,NVMeSSD,128MB,28.84,265.2,300.82,245.64,278.63,1276.6,96.12,325.12,93.26,315.44,514.5,0,0,0,0,0,0,0,0,268M,31488.0,74231994,5127,10374011,0, 7757892, 0.9145, 11.92, 12500597, 0.9068, 2.59, 37029183, 0.9239, 2.45, 16766153, 1.3392, 19.59,0,0,0,0,0,0,0,0,0
4CPU,NVMeSSD,64MB,28.901,273.03,322.93,253.32,299.61,1171.9,81.24,313.02,78.38,301.99,352.9,0,0,0,0,0,0,0,0,268M,31488.0,76559655,5708,10706477,0, 7768353, 0.9620, 1.05, 15042247, 0.9215, 1.79, 32062425, 0.9666, 1.62, 21628079, 1.2329, 1.77,0,0,0,0,0,0,0,0,0
4CPU,NVMeSSD,128MB,28.84,269.88,303.04,250.35,281.11,1100.9,101.43,332.98,98.71,324.05,437.8,0,0,0,0,0,0,0,0,268M,31488.0,75476483,5328,10396935,0, 7814909, 0.8913, 1.41, 12435640, 0.8946, 2.46, 39287473, 0.8968, 2.33, 15874530, 1.3489, 7.30,0,0,0,0,0,0,0,0,0
12CPU,SATAHDD,64MB,28.901,203.81,133.55,182.89,119.85,9960.1,52.56,148.41,50.95,143.87,2717.8,0,0,0,0,0,0,480,0,268M,31488.0,58393288,5034,10793978,0, 17363203, 1.3400, 228.29, 12239786, 1.0405, 2.91, 11795042, 2.6515, 201.95, 16698377, 1.8590, 154.85,0,0,0,0,0,0,0,0,0
12CPU,SATAHDD,128MB,28.84,183.19,135.38,161.7,119.5,8415.5,26.32,145.22,26.67,147.17,1594.9,0,0,0,0,0,0,180,0,268M,31488.0,53649666,4923,10952270,0, 15585780, 1.3883, 113.49, 12048919, 1.0315, 3.59, 10955009, 1.6052, 191.52, 14779624, 1.7613, 164.87,0,0,0,0,0,0,0,0,0
4CPU,SATAHDD,64MB,28.901,154.08,114.37,130.94,97.19,4429.6,20.26,115.55,20.81,118.74,662.5,32,32,0,0,0,0,305,0,268M,31488.0,47702765,6704,12166193,0, 20568402, 1.5819, 104.65, 11943530, 1.1119, 2.59, 4939935, 1.5237, 287.23, 10213291, 1.7271, 233.92,0,0,0,0,0,0,0,0,0
4CPU,SATAHDD,128MB,28.84,131.32,94.07,107.44,76.96,4503.6,19.6,87.45,18.58,82.88,758.8,2,2,0,0,0,0,140,0,268M,31488.0,41414181,4779,11619503,0, 17600696, 1.5577, 233.73, 10740724, 1.0835, 3.88, 3618938, 1.2303, 207.82, 9427474, 1.7928, 423.99,0,0,0,0,0,0,0,0,0
12CPU,PM,64MB,28.901,281.24,333.34,261.52,309.97,1228.4,83.09,322.37,80.1,310.76,374.3,0,0,0,0,0,0,0,0,268M,31488.0,78675148,6177,10697088,0, 7694226, 0.9131, 0.85, 15030012, 0.8976, 1.63, 33929367, 0.9334, 1.07, 21800652, 1.2256, 3.44,0,0,0,0,0,0,0,0,0
12CPU,PM,128MB,28.84,271.66,305.5,252.05,283.45,1038.0,98.61,325.15,95.74,315.69,393.0,0,0,0,0,0,0,0,0,268M,31488.0,76057176,5235,10538946,0, 8061347, 0.8859, 1.22, 12291617, 0.8690, 1.42, 39029373, 0.8721, 1.58, 16593851, 1.3006, 1.36,0,0,0,0,0,0,0,0,0
4CPU,PM,64MB,28.901,282.84,337.54,263.17,314.07,1102.1,83.72,332.2,81.22,322.29,330.6,0,0,0,0,0,0,0,0,268M,31488.0,78827972,5022,10420069,0, 7692730, 0.9460, 0.85, 14915843, 0.9174, 1.82, 36303548, 0.9589, 1.08, 19857967, 1.2611, 1.25,0,0,0,0,0,0,0,0,0
4CPU,PM,128MB,28.84,270.83,305.4,251.22,283.29,1012.6,99.23,329.85,96.59,321.08,378.7,0,0,0,0,0,0,0,0,268M,31488.0,75821769,5263,10518494,0, 7900955, 0.8871, 1.14, 12258807, 0.8712, 1.40, 39207944, 0.8743, 1.48, 16409078, 1.3011, 1.31,0,0,0,0,0,0,0,0,0
